date,location,fatalities,state,activity,comments
2003-01-20,"Durand Glacier, near Revelstoke, BC",7,BC,SKI,"11 skiers caught, 1 injured, 7 killed"
2003-01-06,Cardiac Ridge Area in Cardiff Fork, ,UT,SKI,"1 skier caught, buried, and rescued with avalanche transceiver"
2003-01-05,Near the Red Mountain ski resort,1,BC,SKI,1 out of bounds skier caught buried and killed
2003-01-05,"North of Sheep pass, possibly near Corral Creek Lake",1,WY,SNOWMOBILE,"1 snowmobiler caught, buried, and killed."
2003-01-04,near Ski Lake on Teton Pass,1,WY,SNOWBOARD,"1 snowboarder caught, carried, and killed"
2003-01-04,Darby Canyon, ,ID,SNOWMOBILE,"1 snowmobiler caught, carried, and injured"
2002-12-29,"Norse Peak, near Crystal Mtn. Resort",1,WA,SKI,"7 skiers caught, 6 partially buried, 1 injured, 1 buried and killed."
2002-12-28,"Trinity Mountain area, west of Fairfield ",1,ID,SNOWMOBILE,"2 snowmobilers caught and buried, 1 killed"
2002-12-28,COOKE CITY , ,MT,SNOWMOBILE,"4 seperate snowmobile incidents, one with serious injuries"
2002-12-28,South of Valemount ,1,BC,SNOWMOBILE,3 snowmobilers caught and  buried. 1 snowmobiler killed
2002-12-26,West side of the Snowy Range,1,WY,OTHER,1 snowmobiler buried and killed 
2002-12-19,"Steve Baugh Bowl , Jedediah Smith Wilderness", ,ID,SKI,"1 skier caught, buried, and rescued with avalanche transciever"
2002-12-15,East of Mt Rose,1,NV,SNOWBOARD,1 snowboarder caught and killed
2002-12-14,Central Idaho , ,ID,SKI,2 backcountry skiers caught and buried in seperate accidents
2002-11-29,Tuckerman Ravine,2,NH,CLIMB,"7 climbers caught, 4 buried, 2 killed"
2002-11-11,Jackson Hole area, ,WY,SKI,2 backcountry skiers caught and buried in seperate accidents
2004-06-13,"Liberty Ridge, Mt Rainier",2,WA,CLIMB,2 climbers caught and killed
2004-04-28,Mount Shasta, ,CA,OTHER,Dog survives 2 and half hour burial
2004-04-26,near the Mt Baker ski area,1,WA,SNOWBOARD,1 snowboarder caught and killed in small slide
2004-04-10,"Gun Creek, near Paxson",1,AK,SNOWMOBILE,"3 snowmobilers caught, 1 killed"
2004-04-09,"Browns Peak, just north of Huron Peak",1,CO,SNOWSHOE,"1 snowshoer caught, buried, and killed"
2004-04-09,"The Vice President, in Yoho National Park",1,BC,SKI,"1 skier caught in cornice fall, buried, and killed"
2004-04-05,Nunavut,1,NU,OTHER,Young boy buried and killed in river bank slide
2004-04-03,"Empress Lake, 60 kilometres southwest of Revelstoke",1,BC,SNOWMOBILE,"5 snowmobilers caught and buried, one killed"
2004-03-20,La Plata Peak ? Sawatch Range ,1,CO,HIKE,"2 hikers caught, 1 injured, 1 buried and killed"
2004-03-10,"Mount Guyot, west of Breckenridge",1,CO,SNOWMOBILE,"1 Snowmobiler caught, buried, and killed"
2004-03-07,"Jeru Peak, about 20 miles north of Sandpoint",1,ID,OTHER,Snowmobiler caught buried and killed
2004-03-06,Stampede Pass area, ,WA,SNOWMOBILE,Close call for couple of snowmobilers
2004-03-05,"The Sinks, near the top of Logan Canyon", ,UT,OTHER,39 Scouts & leaders buried in snow caves by cornice fall
2004-03-05,Near Salmon la Sac,1,WA,SNOWMOBILE,"One snowmobiler caught, buried,killed "
2004-02-28,"Apollo Creek, about 15 miles Northwest of Ketchum ",1,ID,SNOWMOBILE,Snowmobiler caught buried and killed
2004-02-28,"Byron Glacier Peak, near Portage",1,AK,CLIMB,"Cornice gives way, plunging climber to his death"
2004-02-26,Daly Canyon near the Judge Mine,1,UT,SNOWSHOE,"1 snowshoer caught, buried, and killed"
2004-02-13,Banff National Park,3,AB,CLIMB,3 ice climbers buried and killed
2004-02-03,"Ladybird mountain area, northwest of Castlegar",1,BC,SNOWMOBILE,2 snowmobilers caught and buried. One killed.
2004-02-01,"Cayoosh Mountain, northeast of Pemberton",1,BC,SKI,"1 skier caught, carried, and killed"
2004-01-31,Lake Ann in upper Fortune Creek, ,WA,SNOWMOBILE,"2 snowmobilers caught, buried, and rescued alive with transcievers"
2004-01-31,"Teton Range, Peak 9,870 (The Pyramid)",1,WY,SKI,1 backcountry skier caught buried and killed
2004-01-30,Russell Bowl area near Valhalla Provincial Park,1,BC,SNOWBOARD,"14 people struck, 3 caught and buried, 2 injured, 1 killed."
2004-01-28,Essex, ,MT,OTHER,"Two avalanches hit freight train, 15 cars derailed"
2004-01-25,"Cape Mercy, about 140 km southeast of Pangnirtung",1,NV,OTHER,"4 people hit by avalanche in tent, 1 killed"
2004-01-22,Portage,1,AK,OTHER,Roof slide kills Forest Service employee
2004-01-08,Mount Justin-Mount Devine area,1,BC,SKI,"1 Skier caught, carried, partially buried, and killed"
2004-01-02,Soldier Mountain; near Soldier Mountain Ski Resort,2,ID,OTHER,"House struck by an avalanche, 2 people buried and killed"
2004-01-01,"Castle Peak, North of Donner Summit",1,CA,SKI,"1 skier caught, buried, and killed"
2003-12-26,Elk Point Avalanche Paths- Mt. Timpanogos ,3,UT,SNOWBOARD,"6 snowboarders caught, carried, and buried. 3 killed, 2  remain missing "
2003-12-17,Navajo Peak  WNW of Blewett Pass ,1,WA,SNOWMOBILE,"1 snowmobiler caught, buried and killed"
2003-12-13,"Near the Alpental ski area, Snoqualmie Pass",1,WA,SNOWSHOE,"1 snowshoer caught, buried, still missing and presumed dead"
2003-12-12,Near Artists Point near the Mt Baker ski area,1,WA,SNOWSHOE,"3 snowshoers caught and buried, 1 killed, 2 survived 24 +hour burial"
2005-07-29,North Face of Mt. Robson ,2,BC,CLIMB,"2 climbers caught, carried, and killed. One remains missing."
2005-07-09,Mount Athabasca in Jasper National, ,AB,CLIMB,"2 climbers caught, one seriously injured"
2005-07-02,"Castle Peak, White Cloud Mtns",1,ID,SNOWBOARD,"1 snowboarder caught,  and killed"
2005-05-31,"Mt Logan, East Ridge",1,YK,CLIMB,1 climber caught buried and killed
2005-05-23,North Sister Mountain, ,OR,HIKE,2 Hikers critically injured
2005-05-20,Arapahoe Basin,1,CO,SKI,"1 in-area skier caught, buried and killed"
2005-04-30,Brighton, ,UT,OTHER,2 people buried by roof avalanche and rescued alive
2005-04-05,"near Blue River, British Columbia ",1,BC,SKI,"1 skier caught, buried, and killed"
2005-04-01,Grand Mesa,1,CO,SKI,"1 skier caught, buried, and killed"
2005-04-01,"Brodie Gulch, Baker Creek near Ketchum",1,ID,SNOWMOBILE,"1 Snowmobiler caught, buried, and killed"
2005-04-01,Monashee Mountains northeast of Lumby,1,BC,SNOWMOBILE,1 snowmobiler killed 
2005-03-31,Monte Cristo area about 20 miles west of Woodruff,1,UT,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2005-03-30,Jersey Creek near Kootenay Pass,1,BC,SNOWMOBILE,"2 snowmobilers caught, 1 killed, 1 injured"
2005-03-30,Fisher Creek drainage near Slab Butte, ,ID,SNOWMOBILE,1 snowmobiler caught and buried.  Rescued alive with beacons & good teamwork 
2005-03-26,Mt. Tom;  Elderberry Canyon,2,CA,SKI,"5 skiers caught in 2 seperate avalanches, 1 injured, 2 buried and killed"
2005-03-25,Galena Summit, ,ID,SKI,1 backcountry skier caught and seriously injured
2005-03-24,"Quandary Peak, Tenmile Range",1,CO,CLIMB,"2 climbers caught, 1 buried, and killed"
2005-03-06,"Five Fingers Bowl, Elk Mountains",1,CO,SKI,"1 skier caught, buried, and killed"
2005-02-20,North Bowl of Mt. Anderson ,1,CA,SKI,"3 skiers caught, 2 partially buried, 1 buried and killed"
2005-02-15,Mount Huntington in the Alaska Range,1,AK,CLIMB,"1 Climber caught and buried, presumed dead, but still missing."
2005-02-14,Northeastern ridge of Mount Mansfield,1,VT,SKI,"1 Skier caught, carried, and killed"
2005-01-25,Slovak Tatra mountains, , ,OTHER,1 person buried for unknown time in automobile...and survives.
2005-01-18,West Twin Creek in the Selkirk mountains,1,BC,SKI,"3 skiers caught, 1 injured, 1 killed"
2005-01-16,Lake Steven Area,2,ID,SNOWBOARD,"2 snowboarders caught, buried, and killed"
2005-01-14,"Dutch Draw, backcountry skiing area",1,UT,SNOWBOARD,"1 snowboarder caught, buried, and killed. "
2005-01-13,"Fissure Creek, tributary to Ferguson Creek, NE of Trout Lake, BC",1,BC,SNOWBOARD,"1 snowboarder caught, buried, and killed"
2005-01-12,Snoqualmie Pass?CLOSED Ski Area,1,WA,SKI,"2 skiers caught, 1 partially buried, 1 buried and killed"
2005-01-09,LEE CANYON ,1,NV,SNOWBOARD,"1 snowboarder caught, buried, and killed"
2005-01-08,Ephriam Canyon,1,UT,SNOWBOARD,"1 snowboarder caught, buried, and killed"
2005-01-08,Choke Cherry area east of Mt. Pleasant,1,UT,SNOWMOBILE,1 snowmobiler caught buried and killed
2005-01-03,"Soda Mountain (Buffalo Pass), Park Range",1,CO,SKI,"1 skier caught, buried, and killed"
2005-01-01,Hells Canyon adjacent to the Snowbasin Resort, ,UT,SKI,"3 backcountry skiers caught, one seriously injured"
2005-01-01,Centennial Mountains,1,MT,SKI,"3 backcountry skiers caught, 1 severely injured, 1 killed"
2004-12-12,"Allan Creek, Caribou Mountains",1,BC,SNOWMOBILE,"1 Snowmobiler caught, buried and killed"
2004-12-11,Trout Creek area of Strawberry Valley,1,UT,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2004-12-11,"Bountiful Peak, 4 miles east of Farmington, Utah", ,UT,SNOWMOBILE,"1 Snowmobiler caught and buried, recovered alive with transciever"
2004-12-11,"Mineral Fork, Big Cottonwood Canyon",2,UT,SNOWSHOE,"2 snowshoers caught, buried; and killed."
2004-12-10,Twin Lakes Pass in Big Cottonwood Canyon,1,UT,SKI,"1 skier caught, buried, and killed"
2004-10-30,"Sphinx Mountain, Madison Range",2,MT,CLIMB,"2 climbers caught, carried, and killed"
2004-10-24,"Mt. Rainier, Ingraham Glacier Area",1,WA,CLIMB,"2 climbers caught and buried, one killed"
2006-04-29,Backcountyr near Lookout Pass,1,ID,SKI,"1 skier caught, buried, and killed"
2006-04-21,Nordschaw drainage of the Talchako River,1,BC,SNOWBOARD,"1 snowboarder caught, buried, and killed"
2006-04-20,"Mount Deltaform, Kootenay National Park ",1,BC,CLIMB,"2 climbers caught, 1 injured, 1 killed"
2006-04-18,"Mount Herman, west of Mt. Baker Ski Area",1,WA,SKI,"1 skier caught, carried, and killed"
2006-04-08,Patriot Bowl-west of Trinity Mtn. Lookout ,1,ID,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2006-04-06,Ltttle Cottonwood Canyon , ,UT,OTHER,Vehicle with 9 people onboard swept off road
2006-04-03,"Pioneer Ridge, an out-of-bounds area near Brighton Ski Resort",1,UT,SNOWBOARD,"1 snowboarder caught, buried, and killed"
2006-04-02,Mountians outside of Spencer,1,ID,SNOWMOBILE,"2 snowmobilers caught, one killed"
2006-03-19,Tiffany Mountain near Conconully,1,WA,SNOWMOBILE,"2 snowmobilers caught, 1 totally buried and killed, 1 partially buried"
2006-03-11,"Ogden Mtn., Taylor Canyon",1,UT,SNOWBOARD,"1 snowboarder caught, buried, and presumed dead.  Remains missing."
2006-03-05,"Fairy Creek;  5 km north of Fernie, BC ",1,BC,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2006-03-03,"McBride Mountain area, Selkirk Mountains",2,BC,SKI,"3 caught and buried, 1 injured, 2 killed"
2006-03-01,mountains near Antelope Creek ,1,ID,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2006-02-28,"Marmot Mountain, Hatcher Pass Area",1,AK,SNOWBOARD,1 snowboarder caught and buried. Still missing and presumed dead.
2006-02-14,"Rainy Pass; Dalzell Creek,  in the Alaska Range",1,AK,SNOWMOBILE,"1 snowmobiler caught, buried, and killed."
2006-02-12,The Fist in the Kananaskis recreation area ,1,AB,SKI,2 caught and carried. 1 killed
2006-02-08,"FLATTOP MTN, CHUGACH STATE PARK, CHUGACH MTNS",1,AK,SNOWSHOE,2 snowshoers caught & carried. 1 buried and killed
2006-02-01,"Blacksmith Creek drainage,Twin Lakes area; Sawtooth Range",1,CA,SKI,"3 people caught, 2 carried, 1 partially buried, 1 killed"
2006-01-14,"base of Mount Baldy, 1.5km from Island Lake Lodge",1,BC,OTHER,"1 person caught, buried, and killed from a natural avalanche"
2006-01-14,Red Meadow Lake west of Polebridge,2,MT,SNOWMOBILE,"3 snowmobilers caught and buried by a Natural avalanche. 1 rescued, 2 killed."
2006-01-08,Avalanche Closed Area; Kicking Horse Mtn Resort,1,BC,SNOWBOARD,"1 snowboarder caught, buried, and killed in a closed area"
2006-01-06,MILLER MOUNTAIN-SHEEP CREEK ,1,MT,SNOWMOBILE,"3 snowmobilers caught, 2 partially buried, 1 buried and killed"
2006-01-05,south end of Mt. Abundance,1,MT,SNOWMOBILE,"5 snowmobilers triggered slide, 2 snowmobilers caught and buried, 1 killed"
2006-01-05,"Coal Creek, West side of Teton Pass",1,WY,SKI,"2 skiers caught, 1 buried and killed"
2006-01-03,Raggedtop Mountain,1,AK,SKI,"1 skier caught, buried, and killed"
2006-01-01,Trap Peak,2,CO,SNOWMOBILE,"7 snowmobilers caught, 5 partly buried, 2 buried and killed"
2005-12-31,"Mt. Timpanogos area, near Hidden Lakes ",1,UT,SNOWSHOE,"2 snowshoers caught, one buried and killed"
2005-12-27,Togwotee Pass/Squaw Basin area,1,WY,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2005-12-22,Kelso Mountain,1,CO,HIKE,"2 hikers caught, 1 partly buried, 1 buried and killed"
2005-11-06,Berthoud Pass,1,CO,SNOWBOARD,"1 backcountry snowboarder and dog, caught, buried and killed"
2005-11-05,Table Mountain near Mt Baker, ,WA,SNOWBOARD,1 Snowboarder caught and totally buried. Found with beacon
2007-05-17,Mt Barille Denali National Park,2,AK,CLIMB,2 climbers caught and killed
2007-04-02,"230 km North of Smithers, Delta Peak area",2,BC,SKI,"5 heli-skiers caught, 3 injured, 2 buried and killed"
2007-03-13,"Sunshine Peak,  5 miles southeast of Aspen",2,CO,SKI,"1 skier caught and carried. 2 split-boarders caught, buried, and killed."
2007-03-11,"Long Range Mountains, Blue Mountain ",1,NL,SNOWMOBILE,"7 snowmobilers involved, 1 buried and killed"
2007-03-10,"Darby Canyon, Fossil Mountain",1,WY,SKI,"1 skier caught, buried, and killed"
2007-03-10,Apollo Creek in the Baker Creek Drainage, ,ID,SNOWMOBILE,"1 snowmobiler caught, buried and injured"
2007-03-09,"Hall Mountain, Monashee Range, South Columbia Mountains ",2,BC,SNOWMOBILE,"4 snowmobilers caught, 2 partially buried, 2 buried and killed"
2007-03-03,South of Echo Lake,1,CO,SNOWSHOE,"1 snowshoer caught, partially buired, died during evacuation"
2007-03-03,Marion Lake drainage in the Flathead Range, ,MT,SKI,"1 skier caught, carried, partially buried, and injured. 1 dog buried and killed."
2007-03-03,"Yellow Mountain near Big Sky, MT",1,MT,SKI,"1 skier caught, buried, and killed"
2007-03-01,"Jewel Basin, Flathead National Forest", ,MT,SNOWMOBILE,"1 snowmobiler caught, buried for 8 hours, and rescued alive"
2007-02-25,"Clark Canyon, near Mt Hood Meadows", ,OR,SKI,"2 skiers caught 1 partially buried, self rescue;1 totally buried"
2007-02-24,Mt Rainier National Park (just west of Crystal Mountain Ski Area Boundary),1,WA,SKI,"1 skier caught, buried and killed"
2007-02-21,Gobblers Knob Area,1,UT,SKI,"1 skier caught, carried, and killed"
2007-02-18,"Hells Canyon, backcountry near Snowbasin Resort",1,UT,SKI,"1 skier caught, buried, and killed"
2007-02-17,"Mount Baldy, about 20 miles from Townsend",2,MT,SNOWMOBILE,3 snowmobilers caught and buried. 2 killed
2007-02-17,Palisades Peak Area,1,ID,SNOWMOBILE,"3 snowmobilers caught, 2 partially buried, 1 buried and killed."
2007-02-17,"Signal Peak, southeast of Richfield, UT",1,UT,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2007-02-17,"Tower Mountain, southeast of Heber City",1,UT,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2007-02-04,"East San Juan Mountains, ~2 miles NW of North Peak.",1,CO,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2007-01-05,"Rock Springs Drainage, Teton Range",1,WY,SKI,"Three out of area skiers caught and partially buried, one killed"
2007-01-01,"Mt. Jefferson,  Hell Roaring Canyon drainage",1,MT,SNOWMOBILE,"2 snowmobilers caught, 1 buried and killed"
2006-12-28,Lionhead area near West Yellowstone,1,MT,SNOWMOBILE,"2 snowmobilers caught, 1 buried and killed"
2006-12-21,"Hanging Valley Wall, Rayburn Area",1,CO,SKI,"1 skier caught, buried, and killed."
2006-12-19,Scotch Bonnet,1,MT,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2006-12-16,"Stewart Peak, Salt River Range",1,WY,SNOWMOBILE,"2 snowmobilers caught and buried, one killed"
2006-11-05,"Mount Inflexible, (Kananaskis County)",1,AB,CLIMB,"1 ice climber caught, buried, and killed"
2008-04-07,?Little Matterhorn? on the backside of Mount Odessey,1,AK,OTHER,"1 person caught, buried, and killed"
2008-03-29,"near Blue River, BC",1,BC,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2008-03-21,near the town of Thetford Mines,1,QC,OTHER,"1 person caught, buried, and killed"
2008-03-16,Sheep Mountain on the North Fork Clearwater River,1,ID,SNOWMOBILE,"4 snowmobilers caught, 2 buried, 1 killed"
2008-03-09,Mount Eyak ,1,AK,SKI,"2 skiers caught, 1 injured, 1 buried and killed"
2008-02-19,"Kootenay National Park, Chickadee Valley",1,AB,SKI,"2 skiers caught, 1 partially buried, 1 completely buried and killed"
2008-02-16,Keystone Mountain,1,BC,SNOWMOBILE,"2 snowmobilers caught, 1 buried and killed"
2008-02-15,Seattle Creek near Turnigan Pass,2,AK,OTHER,"4 snowmobilers caught and buried. 2 rescued, 2 killed."
2008-02-08,Garden Valley,1,ID,OTHER,77 yr. old man was killed in roof avalanche
2008-02-02,"KoKo Claims Trail, Tundra area",1,BC,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2008-02-01,Little Box Canyon area north of Rifle ,1,CO,SNOWMOBILE,"1 snowmobile caught, buried, and killed."
2008-01-28,Tokopah Canyon in Sequoia National Park ,1,CA,HIKE,2 hikers caught and carried. 1 buried and killed
2008-01-25,"backcountry Terrain, Mountain High Resort",3,CA,SKI,"3 skiers caught, buried, and killed in 3 seperate avalanches"
2008-01-20,Beehive Basin,1,MT,SKI,"1 skier caught, buried, and killed"
2008-01-18,"Mount Washington, Huntington Ravine ",1,NH,CLIMB,1 Climber caught and killed
2008-01-16,Canyon Creek,1,BC,SKI,"2 skiers caught and buried, one killed"
2008-01-13,Fiberglass Hill north of Columbia Falls,2,MT,SKI,"3 people caught. 1 partially buried. 2 skiers buried, and killed"
2008-01-12,"East Vail Chutes, near the King Tut and Old Mans Chutes",1,CO,SKI,"2 skiers caught, 1 partially buried, 1 buried and killed"
2008-01-12,near the North Fork of Cottonwood Creek ,3,WY,SNOWMOBILE,3 snowmobilers buried and killed
2008-01-10,"Little Bear Peak, Sangre de Cristo Mountains",1,CO,CLIMB,"2 climbers caught, 1 partly buried and seriously injured, 1 buried and killed "
2008-01-07,Banff National Park,1,AB,SKI,1 skier caught and killed
2008-01-06,Big White Ski Resort,1,BC,SKI,1 skier caught and killed
2008-01-06,Near Midway,1,BC,SNOWMOBILE,1 snowmobiler caught and killed
2008-01-06,Near Grand Fork,1,BC,SNOWMOBILE,1 snowmobiler caught and killed
2008-01-04,East Vail Backcountry,1,CO,SNOWBOARD,1 Snowboarder caught and killed
2008-01-04,Above  Mountain Loop Highway near Mount Pilchuck,1,WA,HIKE,"3 hikers caught, 2 partially buried, 1 completely buried and killed"
2008-01-03,"warehouse roof in Fargo, ND",1,ND,OTHER,"1 roof shoveler, caught, buried, and killed"
2008-01-02,"Snowy Range, SE Wyoming",1,WY,SNOWMOBILE,"4 snowmobilers caught and buried, 1 killed"
2008-01-01,"Excelsior Pass area, north of Mount Baker",2,WA,SNOWMOBILE,"5 snowmobilers caught, 2 killed, and 1 injured"
2008-01-01,"Permanently Closed Area, near West Bowl @ Whistler ",1,BC,SKI,"1 skier & 1 snowboarder caught, 1 killed, 1 injured in Permanently Closed Area"
2007-12-31,Co-op Creek ,1,UT,SNOWMOBILE,"3 snowmobilers caught, 1 buried and killed"
2007-12-25,Super Bowl area near Windy Ridge,1,UT,SNOWMOBILE,1 snowmobiler caught and killed
2007-12-24,near 108 Mile House,2,BC,SNOWMOBILE,2 snowmobilers caught and killed by 2 successive avalanches 
2007-12-23,"Red Pine Chute, Canyons Mountain Resort",1,UT,SKI,"4 involved;  one skier caught, carried and killed; 2nd skier buried, rescued."
2007-12-18,Mt Rainier National Park - Edith Creek Basin,1,WA,SNOWSHOE,"1 snowshoer caught, buried, and killed"
2007-12-08,Tent Ridge near the Spray Lakes area,2,AB,SKI,"2 skiers caught, buried, and killed"
2007-12-02,"Hot Dog Bowl, near Zimmerman Lake",1,CO,SNOWBOARD,"1 person caught, buried, rescued by companions, and dies from injuries."
2007-12-02,"Near Source Lake, Snoqualmie Pass WA",2,WA,HIKE,"3 hikers caught, 2 completely buried, 1 mostly or completely buried, 2 killed"
2007-12-02,Back country north of Crystal Mt Resort,3,WA,SNOWBOARD,3 missing snowboarders presumed buried and killed
2007-11-12,"Mt. Sparrowhawk in Kananaskis Country, Alberta",1,AB,CLIMB,"2 climbers caught and injured, 1 killed"
2009-04-18,Thompson Pass near Valdez,1,AK,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2009-04-17,Near Thompson Pass outside of Valdez,1,AK,SKI,"1 skier caught in sluff and carried over cliffs, died from trauma"
2009-04-14,Notre-Dame Mountains on Quebec's upper Gaspé Peninsula,1,QC,SKI,"1 skier caught, buried, and killed"
2009-04-10,Clemina Creek in Monashees near Valemount,1,BC,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2009-04-05,"Norton Creek, 20 miles west of Ketchum",1,ID,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2009-03-28,"Johnson Pass, Kenai Peninsula",1,AK,SNOWMOBILE ,"1 snowmobiler caught, buried, and killed"
2009-03-27,"Valley of the Lakes, 20 km SW of Parson, BC",1,BC,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2009-03-25,Hellroaring Creek west of Kimberley,1,BC,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2009-03-24,Renshaw Mountain west of Jasper,2,BC,SNOWMOBILE,"3 snowmobilers caught, 2 buried and killed"
2009-03-21,"Whitewater Creek area of Caribou Mtns, near Blue River",1,BC,SNOWMOBILE,"3 snowmobilers caught, 1 partially buried, 1 injured, 1 buried and killed"
2009-03-18,near 100 Mile House in the Central Interior of B.C.,1,BC,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2009-03-16,Sheol Valley southwest of Lake Louise, ,AB,SKI,"2 skiers caught, 1 partially buried, 1 completely buried and recovered"
2009-03-07,Eagle Cap Wilderness,1,OR,SKI,"3 skiers caught, 1 partially buried, one buried, one buried and killed"
2009-03-07,Kicking Horse Mountain Resort - Ozone Permanent Avalanche Closure,2,BC,SKI,"2 skiers caught, buried and killed"
2009-03-06,"Gladiator Ridge, 20 miles northwest of Sun Valley",1,ID,SKI,"1 skier caught, buried, and killed, 1 seriously injured"
2009-03-06,Black Lee Drainage 7 miles NE of McCall, ,ID,SKI,"4 skiers caught, 2 buried, 1 injured"
2009-03-03,Squaw Valley,1,CA,SKI,"1 skier caught, died from injuries"
2009-03-01,Duck Lake area north of Brundage Mountain Ski Area, ,ID,SNOWMOBILE,"1 snowmobiler caught, carried, and seriously injured"
2009-02-27,"Trapper Creek, north of Priest Lake",1,ID,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2009-02-27,Indian Peak area of the Snake River Range in western Wyoming,3,WY,SNOWMOBILE,"4 snowmobilers caught, and buried. 1 self-rescued, 3 killed"
2009-02-24,Trinity Mountains near Featherville, ,ID,SNOWMOBILE,1 snowmobiler buried and recovered
2009-02-21,"near Maggies Peak, Lake Tahoe Region",1,CA,SKI,1 skier caught and killed 
2009-02-11,Mount Two Top; Targhee Natl. Forest, ,MT,SNOWMOBILE,"1 snowmobiler caught, buried, and rescued with serious injuries"
2009-01-17,Hell Roaring drainage South of Mt Jefferson ,1,MT,SNOWMOBILE,"1 snowmobiler caught, buried, and killed "
2009-01-17,Black Butte area of the Gravelly Range,1,MT,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2009-01-17,Northeast facing slope on Crown Butte,1,MT,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2009-01-17,Black Meadows area of Babcock Mountain near Tumbler Ridge,1,BC,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2009-01-16,"Monashee Mountains, 25 km south of Valemount",1,BC,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2009-01-14,near Banff National Park ,1,AB,HIKE,"1 hiker caught, buried, and killed"
2009-01-11,Mara Mountain area in the B.C. Interior,1,BC,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2009-01-11,"Chetwynd, B.C., located in the foothills of the Rocky Mountains",1,BC,SNOWMOBILE,"5 snowmobilers caught and buried. 4 rescued, 1 killed"
2009-01-08,"Alice Mountain, 15 kilometres northwest of Terrace, B.C.",1,BC,SNOWBOARD,"unknown number caught, 1 snowboarder buried, rescued, and died at hospital"
2009-01-02,-Main Vein- Ice Climb; Shoshone National Forest,1,WY,CLIMB,1 ice climber caught and killed
2009-01-01,Secret Chutes Area / CLOSED AREA ,1,BC,SNOWBOARD ,"1 snowboarder caught, buried, and killed in a Closed Area "
2008-12-31,"Out-of-Area, Blackcomb Backcountry",1,BC,SKI,"1 skier caught, buried, and killed"
2008-12-30,"Rockford, WA (near Spokane, eastern WA)",1,WA,OTHER,Roof Avalanche kills 85 year old women
2008-12-29,Yamaha Hill; Moffat Basin Area,1,UT,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2008-12-29,The Headwall; Jackson Hole Mountain Resort , ,WY,SKI,"7 patrollers involved, 4 buried, all rescued"
2008-12-28,Brown Bear Basin near Harts Pass,1,WA,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2008-12-28,Harvey Pass area,8,BC,SNOWMOBILE ,"11 snowmobilers caught in 2 slides, 8 buried and killed"
2008-12-27,Paintbrush Area; Jackson Hole ,1,WY,SKI,"2 skiers caught, 1 buried and killed "
2008-12-27,Gravel Mountain - Grand Lake Area,2,CO,SNOWMOBILE ,"2 snowmobilers caught, buried, and killed "
2008-12-26,North of Little Water Peak , ,UT,SKI,"1 skier caught, buried, and rescued alive by companions"
2008-12-25,Poulsens Gully-Squaw Valley Ski Area,1,CA,SKI,"1 Skier caught, buried, and killed"
2008-12-24,Logan Peak - Rodeo Grounds Area,2,UT,SNOWMOBILE,"3 involved, 2 caught, buried, and killed"
2008-12-17,NW of Crested Butte - Happy Chutes,1,CO,SNOWBOARD,"1 snowboarder caught, buried, and killed  "
2008-12-14,Richmond Ridge,1,CO,SKI,"1 skier caught, buried, and killed"
2008-12-14,"Mt. Baldy, Snowbird Ski Resort",1,UT,SKI,"1 skier caught, buried, died later in the hospital"
2008-12-14,Red Pine Lake Area, ,UT,SKI,"1 skier caught, carried, and injured"
2010-06-14,"Lolo Peak, west of Missoula, MT",1,MT,SKI,"1 skier caught, push into rocks, and killed"
2010-06-05,"Ingraham Direct Route, Mount Rainier",1,WA,CLIMB,"11 climbers caught, 10 recovered, 1 still missing - presumed dead"
2010-05-29,"Ruth Gorge, Denali National Park",2,AK,CLIMB,2 climbers caught and killed
2010-04-14,McAtee Basin south of Big Sky,1,MT,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
